Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value,Beta,Select,,analysis_id
E13 Other specified diabetes mellitus,130712,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,245,394596,0.362971413801938,0.278898797088023,,,icd_first_occurrence-130712-both_sexes--
J37.2 Operative cholangiography through cystic duct,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,611,394230,0.363444609293506,-0.175872999369647,,,categorical-41210-both_sexes-J372-
Q43 Other congenital malformations of intestine,132510,icd_first_occurrence,,Health-related outcomes > First occurrences > Congenital disruptions and chromosomal abnormalities,,332,394509,0.363521725261842,0.242823800050451,,,icd_first_occurrence-132510-both_sexes--
Median T2star in putamen (right),25031,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI,,16739,,0.363606064901463,-0.0326375437875484,,,continuous-25031-both_sexes--irnt
L91.5 Insertion of tunnelled venous catheter,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,224,394617,0.364156295165211,-0.27688724969128,,,categorical-41210-both_sexes-L915-
Mastoidectomy/mastoid surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,763,394020,0.364315876240915,-0.153259596185405,,,categorical-20004-both_sexes-1525-
Olanzapine,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,443,394340,0.364670064335933,-0.205605609544687,,,categorical-20003-both_sexes-1140928916-
Volume of grey matter in Putamen (right),25883,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.364750226215712,0.0306513102269857,,,continuous-25883-both_sexes--irnt
L08 Other local infections of skin and subcutaneous tissue,131708,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,11587,383254,0.365611929203066,-0.0366110875468653,,,icd_first_occurrence-131708-both_sexes--
Y27.4 Attention to graft of organ NOC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,147,394694,0.365839572475007,0.367255084949773,,,categorical-41210-both_sexes-Y274-
Mean L3 in cingulum hippocampus on FA skeleton (right),25332,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.365938381145477,0.0323933398345663,,,continuous-25332-both_sexes--irnt
H74 Other disorders of middle ear and mastoid,131246,icd_first_occurrence,,Health-related outcomes > First occurrences > Ear and mastoid process disorders,,688,394153,0.366168900033744,0.167007529010317,,,icd_first_occurrence-131246-both_sexes--
Z24.6 Lung,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1165,393676,0.366555390465235,-0.126263380789015,,,categorical-41210-both_sexes-Z246-
F22 Persistent delusional disorders,130878,icd_first_occurrence,,Health-related outcomes > First occurrences > Mental and behavioural disorders,,316,394525,0.367159384413312,-0.246952867233483,,,icd_first_occurrence-130878-both_sexes--
Tinnitus / tiniitis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,672,394111,0.36733646158461,0.162193607603707,,,categorical-20002-both_sexes-1597-
Z58.1 Triceps surae,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,961,393880,0.367530214582674,0.139670042317372,,,categorical-41210-both_sexes-Z581-
Z31.1 Pancreas,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,240,394601,0.367780365310294,0.276409362303583,,,categorical-41210-both_sexes-Z311-
W86.8 Other specified therapeutic endoscopic operations on cavity of other joint,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,267,394574,0.368264887296083,0.262107744620968,,,categorical-41200-both_sexes-W868-
G90 Disorders of autonomic nervous system,131108,icd_first_occurrence,,Health-related outcomes > First occurrences > Nervous system disorders,,449,394392,0.368935507387625,0.203930352281701,,,icd_first_occurrence-131108-both_sexes--
Z54.4 Biceps brachii,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,894,393947,0.368981175475997,-0.142503832997064,,,categorical-41210-both_sexes-Z544-
Colonoscopy/sigmoidoscopy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,7758,387025,0.369114869138933,-0.0461703985592572,,,categorical-20004-both_sexes-1519-
Transurethral resection of prostate (turp),20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,2038,179157,0.369137168523463,-0.0925022270183141,,,categorical-20004-both_sexes-1209-
Mean OD in sagittal stratum on FA skeleton (left),25423,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.369319512872844,-0.031912725641591,,,continuous-25423-both_sexes--irnt
Z83.1 Metacarpophalangeal joint of thumb,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,405,394436,0.36933621621106,0.208390219994706,,,categorical-41210-both_sexes-Z831-
Diovan 40mg capsule,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,373,394410,0.369406591244174,-0.218731037883592,,,categorical-20003-both_sexes-1141145668-
Mean FA in posterior thalamic radiation on FA skeleton (left),25085,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.369663585526108,-0.0311266767470998,,,continuous-25085-both_sexes--irnt
Pulse wave reflection index,4195,continuous,,UK Biobank Assessment Centre > Physical measures > Arterial stiffness,,129986,,0.36982594972355,-0.0109765343264355,,,continuous-4195-both_sexes--irnt
Mean ICVF in tapetum on FA skeleton (left),25391,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.369850981573535,-0.0311409915316458,,,continuous-25391-both_sexes--irnt
G50 Disorders of trigeminal nerve,131062,icd_first_occurrence,,Health-related outcomes > First occurrences > Nervous system disorders,,2384,392457,0.369912501930606,0.088714109445253,,,icd_first_occurrence-131062-both_sexes--
Peripheral neuropathy,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,543,394240,0.369960772794748,0.18022162005311,,,categorical-20002-both_sexes-1255-
AtopDerm Strict custom,AtopDerm_Strict_custom,categorical,,Autoimmune/inflammatory,,9498,190941,0.370356940370585,0.044690688452958,,,categorical-AtopDerm_Strict_custom-both_sexes--custom
AtopDerm Strict custom,AtopDerm_Strict_custom,categorical,,Autoimmune/inflammatory,,9498,190941,0.370356940370585,0.044690688452958,,,categorical-AtopDerm_Strict_custom-both_sexes--custom
K22 Other diseases of oesophagus,131586,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,13559,381282,0.370600518659305,0.0370236688448328,,,icd_first_occurrence-131586-both_sexes--
Mean L1 in posterior limb of internal capsule on FA skeleton (left),25219,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.370628729660106,-0.0318946872777627,,,continuous-25219-both_sexes--irnt
"I97 Postprocedural disorders of circulatory system, not elsewhere classified",131418,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,258,394583,0.370634226946721,-0.262650023388797,,,icd_first_occurrence-131418-both_sexes--
K40.1 Saphenous vein graft replacement of one coronary artery,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,688,394153,0.370862487979104,-0.162015819125554,,,categorical-41210-both_sexes-K401-
"L98 Other disorders of skin and subcutaneous tissue, not elsewhere classified",131836,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,37125,357716,0.37093448253727,-0.0153216177009182,,,icd_first_occurrence-131836-both_sexes--
Mean MO in superior longitudinal fasciculus on FA skeleton (right),25192,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.371233078923469,-0.0319754894457202,,,continuous-25192-both_sexes--irnt
"Volume of grey matter in Cingulate Gyrus, anterior division (left)",25838,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.371381582058795,0.0298016833217736,,,continuous-25838-both_sexes--irnt
Volume of grey matter in Superior Frontal Gyrus (left),25786,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.37193238111997,0.0291980076514195,,,continuous-25786-both_sexes--irnt
K59.2 Implantation of cardioverter defibrillator using two electrode leads,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,189,394652,0.372286806411119,0.315114825207588,,,categorical-41200-both_sexes-K592-
"Hospitalized vs non-hospitalized (among COVID-19 positive; old definition using ""origin" field)",COVID19,categorical,,,,4206,8097,0.372745133795111,-0.0819990000705684,,,categorical-COVID19-both_sexes-B1_v2_origin-04162021
S08.1 Curettage and cauterisation of lesion of skin of head or neck,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,296,394545,0.372759483700257,0.248924726157851,,,categorical-41200-both_sexes-S081-
Neutrophill percentage,30200,continuous,,Biological samples > Assay results > Blood assays > Blood count,,382770,,0.373353430662721,-0.00658271090718906,,,continuous-30200-both_sexes--irnt
Subarachnoid hemorrhage custom,Subarachnoid_hemorrhage_custom,categorical,,,,1142,384479,0.373973949915326,0.127180764531132,,,categorical-Subarachnoid_hemorrhage_custom-both_sexes--custom
W20.1 Primary open reduction of fracture of long bone and extramedullary fixation using plate NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,3350,391491,0.374434070704988,0.0734360766099052,,,categorical-41200-both_sexes-W201-
C34 Malignant neoplasm of bronchus and lung,C34,icd10,,Chapter II Neoplasms | C30-C39 Malignant neoplasms of respiratory and intrathoracic organs | C34 Malignant neoplasm of bronchus and lung,,2130,392711,0.374642258818673,0.093622601916896,,,icd10-C34-both_sexes--
Z89.3 Forearm NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,362,394479,0.375287588103384,0.221300460354605,,,categorical-41210-both_sexes-Z893-
Cholecystitis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,397,394386,0.375525156481009,0.213576853343475,,,categorical-20002-both_sexes-1163-
Z67.4 Thoracic intervertebral joint,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,190,394651,0.376214809349706,-0.307743729401613,,,categorical-41210-both_sexes-Z674-
M05 Seropositive rheumatoid arthritis,131848,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,749,394092,0.376395608008056,-0.152776668466173,,,icd_first_occurrence-131848-both_sexes--
Platelet count,30080,continuous,,Biological samples > Assay results > Blood assays > Blood count,,383466,,0.376812781352101,0.00628995926657733,,,continuous-30080-both_sexes--irnt
Prednisone,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,241,394542,0.377343995882983,0.271731392681853,,,categorical-20003-both_sexes-1140868364-
Bimatoprost,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,221,394562,0.377872084362599,-0.279819648459519,,,categorical-20003-both_sexes-1141179914-
T85.8 Other specified block dissection of lymph nodes,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,283,394558,0.377998546563696,-0.249310462773796,,,categorical-41210-both_sexes-T858-
Weighted-mean MO in tract acoustic radiation (left),25542,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.378135492809566,0.0316983016939294,,,continuous-25542-both_sexes--irnt
H72 Perforation of tympanic membrane,131242,icd_first_occurrence,,Health-related outcomes > First occurrences > Ear and mastoid process disorders,,1607,393234,0.378292300324658,0.106016633060679,,,icd_first_occurrence-131242-both_sexes--
T86.2 Sampling of axillary lymph nodes,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2409,211204,0.378550360354886,0.0864139886973363,,,categorical-41210-both_sexes-T862-
L63 Alopecia areata,131778,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,681,394160,0.378663438319454,0.159760041178124,,,icd_first_occurrence-131778-both_sexes--
K60 Fissure and fistula of anal and rectal regions,131642,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,4836,390005,0.378664435995243,0.0607696681040289,,,icd_first_occurrence-131642-both_sexes--
Seating box height,3077,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,393937,,0.378926972489214,0.0269739006854906,,,continuous-3077-both_sexes--
Weighted-mean ISOVF in tract corticospinal tract (right),25713,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16495,,0.37902359980149,0.0314138636000656,,,continuous-25713-both_sexes--irnt
G74.2 Creation of temporary ileostomy,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,325,394516,0.379116098262302,-0.231993403931252,,,categorical-41210-both_sexes-G742-
V48.6 Denervation of spinal facet joint of lumbar vertebra NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,190,394651,0.379446189521857,0.3045157875553,,,categorical-41200-both_sexes-V486-
S47.3 Incision of lesion of skin of head or neck,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,181,394660,0.379630370603625,0.304579192620666,,,categorical-41210-both_sexes-S473-
